file,sha256,bytes,experiment,experiment_note,dataset,mode,k,n_cycles,replicate,model,engines,rmse,mae,nasa_score,distinct_values,modal_value,modal_share_pct,entropy_bits,pred_mean,true_mean,empty_reasoning,reasoning_chars_mean,example_seed
results/traces_FD001_few_shot_k10.json,d318deffa66466977d7a91cb365fd1435275b54ac9f62123c0f72e76c9055e26,41862,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD001,few_shot,10,5,run1,llama3.1:8b,100,60.3115,50.68,43626.7,7,23.0,53.0,1.85,27.95,74.45,0,320.4,
results/traces_FD001_few_shot_k10_n15.json,bb984625a34c26c946a42e5c485d0b14d9ea5ed23eb359f32a069cafac499b32,38170,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD001,few_shot,10,15,run1,llama3.1:8b,100,53.6467,46.35,23306.8,7,45.0,37.0,1.9808,40.6,74.45,0,283.5,
results/traces_FD001_few_shot_k10_n30.json,8d7b4274a8ad0ada80e09d71b6dfe41c552cfe19d5f90a7ccbab7cfe44b9da93,40771,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD001,few_shot,10,30,run1,llama3.1:8b,100,45.598,36.32,79567.8,8,95.0,34.0,2.3002,92.87,74.45,0,309.2,
results/traces_FD001_few_shot_k3.json,7e06cfec8aba3c11056577a89ce691faa910910a925ebce3f0f2462219a1e1d3,38651,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD001,few_shot,3,5,run1,llama3.1:8b,100,62.5034,52.38,49741.4,3,23.0,82.0,0.8536,26.63,74.45,0,288.3,
results/traces_FD001_few_shot_k3_n15.json,431b5ffdfce6536a590f08df88867cd46ff5f262a265a0dc4ad1f44a4de3d861,43184,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD001,few_shot,3,15,run1,llama3.1:8b,100,55.3122,47.98,25295.8,3,45.0,64.0,1.152,38.03,74.45,0,333.6,
results/traces_FD001_few_shot_k3_n30.json,f0af2342a3b45797d620435cffe9fcd8714cb508a8c802c2799edb378f7c3f74,41170,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD001,few_shot,3,30,run1,llama3.1:8b,100,50.5391,40.7,133633.5,11,95.0,39.0,2.3421,91.69,74.45,0,313.1,
results/traces_FD001_few_shot_k5.json,68129e007c8ba3b8f16fb30e36646e405c7fdc30f9d6e0a59201bdf69b5d50b1,38526,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD001,few_shot,5,5,run1,llama3.1:8b,100,61.7846,52.38,41801.4,3,23.0,76.0,1.0338,27.95,74.45,0,287.0,
results/traces_FD001_few_shot_k5_n15.json,15e4b47b6a30433d95c2a4da72333ef4c45b1d8000f39c0f16bc3e9c3e68d49c,43354,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD001,few_shot,5,15,run1,llama3.1:8b,100,53.9629,46.99,18572.5,5,45.0,57.0,1.492,38.28,74.45,0,335.3,
results/traces_FD001_few_shot_k5_n30.json,cb0ea19cae2149ea4d0cf35f7883da0c3fa1d538bf4fb695d074ae5bda6e1d2b,41146,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD001,few_shot,5,30,run1,llama3.1:8b,100,46.9279,37.59,119410.5,8,95.0,40.0,2.2368,91.9,74.45,0,312.9,
results/traces_FD001_zero_shot_k0.json,80752c8dcd1fb1349344749e9ceb8ed5d2f01d1e891e9038c42ca279a1d22587,45800,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD001,zero_shot,0,5,run1,llama3.1:8b,100,60.8985,51.07,41333.3,3,23.0,68.0,0.9686,28.98,74.45,0,359.8,
results/traces_FD001_zero_shot_k0_n15.json,49fee80214fbadbce578f19ae52271b8fa2b939efc98f2befe1e3aad25bf7c71,47292,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD001,zero_shot,0,15,run1,llama3.1:8b,100,61.9118,52.01,45218.2,2,23.0,84.0,0.6343,26.04,74.45,0,374.7,
results/traces_FD001_zero_shot_k0_n30.json,2307cca2f34131ee8c384a0b1e33ba249db24f838a5fd9883f0588e0fb8c6e3a,47080,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD001,zero_shot,0,30,run1,llama3.1:8b,100,62.8302,52.58,48468.8,2,23.0,85.0,0.6098,25.85,74.45,0,372.6,
results/traces_FD001_zero_shot_k0_n30_run2.json,d9e102f2c6dcbf2e21f73f7db0422a39d9b5d76736a8c0302e9ea92dc5b0fb47,47893,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD001,zero_shot,0,30,run2,llama3.1:8b,100,61.8089,51.34,45488.1,2,23.0,81.0,0.7015,26.61,74.45,0,380.7,
results/traces_FD001_zero_shot_k0_n30_run3.json,a2359ca1b052068c7a24361600f0ea77c75d33c9da215d36ee8f0a3a70891c70,47537,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD001,zero_shot,0,30,run3,llama3.1:8b,100,61.7443,51.82,43301.3,2,23.0,81.0,0.7015,26.61,74.45,0,377.1,
results/traces_FD001_zero_shot_k0_n30_run4.json,8951356e2d5032511422adbbf96db46d90894929773bd0d79cb7a31c5a259f2b,47352,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD001,zero_shot,0,30,run4,llama3.1:8b,100,61.5224,51.22,45986.9,3,23.0,80.0,0.7792,26.83,74.45,0,375.3,
results/traces_FD003_few_shot_k10.json,c9fe3509f67c9b0eef9c95325c64facd1adf54a42d93b9b8ef10d8fa95c1136e,40248,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD003,few_shot,10,5,run1,llama3.1:8b,100,73.0199,62.27,149709.5,5,10.0,92.0,0.5422,11.93,73.76,0,304.2,
results/traces_FD003_few_shot_k10_n15.json,6aa77d8098253e0919831e41104f565bfbe448b3ea62fdf7c7286633ec1bcd21,37517,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD003,few_shot,10,15,run1,llama3.1:8b,100,52.2577,43.63,21286.8,3,30.0,49.0,1.4925,38.65,73.76,0,276.9,
results/traces_FD003_few_shot_k10_n30.json,b520ac3b60984ab52e0eb51d5f51ff4d050b2b6f461664ed285e1964fd9a55da,40828,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD003,few_shot,10,30,run1,llama3.1:8b,100,47.5801,40.51,71047.6,8,95.0,33.0,2.4774,81.97,73.76,0,310.0,
results/traces_FD003_few_shot_k3.json,03d1f27b8fe7450a3e01f4e350a85ea9f11f777836aa9c9173200766429a3719,38650,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD003,few_shot,3,5,run1,llama3.1:8b,100,55.9611,46.52,32049.5,5,23.0,49.0,1.6527,33.06,73.76,0,288.3,
results/traces_FD003_few_shot_k3_n15.json,3b44ba42365e07cadcef707284ba3d76681d21452e372ddb607b10446f7595b0,43779,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD003,few_shot,3,15,run1,llama3.1:8b,100,51.7109,42.88,20279.4,3,45.0,73.0,1.0782,40.58,73.76,0,339.6,
results/traces_FD003_few_shot_k3_n30.json,0ee7e603bb29323c61d905ab0c1c283189ab0409e3f327e51e8bc1d9ef696bb4,41655,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD003,few_shot,3,30,run1,llama3.1:8b,100,46.3833,38.93,108143.2,8,95.0,33.0,2.4683,88.67,73.76,0,318.1,
results/traces_FD003_few_shot_k5.json,12810c0109804b4038789fe00aabf4da93f97f02ed9a92ee319443fc76819674,38615,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD003,few_shot,5,5,run1,llama3.1:8b,100,55.9815,46.75,32901.7,3,23.0,57.0,1.387,32.01,73.76,0,287.9,
results/traces_FD003_few_shot_k5_n15.json,2196976b6d2718ee6980bc01bd48489ab61783768d0691d463be830dd53ab21f,42560,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD003,few_shot,5,15,run1,llama3.1:8b,100,51.3555,42.91,19888.0,5,45.0,74.0,1.1923,40.95,73.76,0,327.4,
