label,RMSE,MAE,NASA_Score,dataset,model,k,n_cycles,temperature,suffix
RandomForest | FD001,17.957747791691475,13.27105,760.6436269318586,FD001,RandomForest,,,,
LSTM | FD001,43.70462770030051,39.22779083251953,5804.931916731705,FD001,LSTM,,,,
Llama-ZeroShot | FD001,60.89852214955631,51.07,41333.3251159249,FD001,Llama-ZeroShot,0.0,5.0,0.1,
Llama-FewShot-k3 | FD001,62.50343990533641,52.38,49741.43680741307,FD001,Llama-FewShot-k3,3.0,5.0,0.1,
Llama-FewShot-k5 | FD001,61.78462591939843,52.38,41801.42565625815,FD001,Llama-FewShot-k5,5.0,5.0,0.1,
Llama-FewShot-k10 | FD001,60.31152460351172,50.68,43626.70994973276,FD001,Llama-FewShot-k10,10.0,5.0,0.1,
RandomForest | FD003,17.679855266658716,12.075049999999997,1336.6152945967929,FD003,RandomForest,,,,
LSTM | FD003,39.723358247128196,34.6070442199707,6263.354405755421,FD003,LSTM,,,,
Llama-ZeroShot | FD003,58.55792004502892,49.13,37417.56813370059,FD003,Llama-ZeroShot,0.0,5.0,0.1,
Llama-FewShot-k3 | FD003,55.96105788849957,46.52,32049.519061347004,FD003,Llama-FewShot-k3,3.0,5.0,0.1,
Llama-FewShot-k5 | FD003,55.981514806228674,46.75,32901.67633088919,FD003,Llama-FewShot-k5,5.0,5.0,0.1,
Llama-FewShot-k10 | FD003,73.01992878659907,62.27,149709.51430960486,FD003,Llama-FewShot-k10,10.0,5.0,0.1,
