dataset,predictor,value,RMSE,MAE,NASA_Score
FD001,constant = TRAIN mean RUL,86.83,41.94179565195834,34.83,33354.47175535112
FD001,constant = TRAIN median RUL,103.0,49.20335354424533,38.01,166491.3413136251
FD001,constant = TEST mean RUL (oracle),74.45,40.073276631690604,35.847,10579.444256284605
FD001,constant = TEST median RUL (oracle),86.0,41.70455610601796,34.83,30753.311297478802
FD001,constant = 50,50.0,46.94326362748973,41.51,7992.264588374934
FD001,constant = RUL_CAP/2 (62.5),62.5,41.81710176470866,37.92,5569.7106948509845
FD001,constant = RMSE-optimal (oracle),74.0,40.075803173486115,35.91,10196.968948530857
FD001,constant = NASA-optimal (oracle),61.0,42.270202270630314,38.25,5505.553995074505
FD001,"random uniform U(0,125), mean of 1000",,55.02460179169459,45.12530531641568,155399.73577642816
FD003,constant = TRAIN mean RUL,93.14,43.70001135914202,36.442961165048544,57686.92164191835
FD003,constant = TRAIN median RUL,123.0,62.91708829880798,49.86,1138745.2079282126
FD003,constant = TEST mean RUL (oracle),73.76,39.166087371602494,34.26480000000001,9433.067000661826
FD003,constant = TEST median RUL (oracle),77.5,39.34424989753903,34.2,12870.141103457483
FD003,constant = 50,50.0,45.809605979532286,38.76,8547.144311573962
FD003,constant = RUL_CAP/2 (62.5),62.5,40.752545932738975,35.29,5586.551825149149
FD003,constant = RMSE-optimal (oracle),74.0,39.16682269472468,34.26,9610.965310526222
FD003,constant = NASA-optimal (oracle),62.0,40.89352026910865,35.38,5573.90368531753
FD003,"random uniform U(0,125), mean of 1000",,54.34420643681746,44.49976022377066,148439.72103316875
