arm,engine_id,sensor,cued,claimed,canonical,cue_says,actual_shown,pred_rul,true_rul
repl,1,s4,False,absent,increase,,increase,42,112.0
repl,1,s7,False,absent,decrease,,decrease,42,112.0
repl,1,s9,True,decrease,decrease,decrease,stable,42,112.0
repl,1,s11,True,increase,increase,increase,decrease,42,112.0
repl,1,s12,True,increase,increase,increase,decrease,42,112.0
repl,1,s14,True,decrease,decrease,decrease,decrease,42,112.0
repl,1,s15,True,increase,increase,increase,increase,42,112.0
repl,2,s4,False,absent,increase,,increase,23,98.0
repl,2,s7,False,absent,decrease,,stable,23,98.0
repl,2,s9,True,decrease,decrease,decrease,decrease,23,98.0
repl,2,s11,True,increase,increase,increase,increase,23,98.0
repl,2,s12,True,unspecified,increase,increase,increase,23,98.0
repl,2,s14,True,decrease,decrease,decrease,decrease,23,98.0
repl,2,s15,True,absent,increase,increase,decrease,23,98.0
repl,3,s4,False,absent,increase,,increase,23,69.0
repl,3,s7,False,absent,decrease,,decrease,23,69.0
repl,3,s9,True,decrease,decrease,decrease,stable,23,69.0
repl,3,s11,True,increase,increase,increase,increase,23,69.0
repl,3,s12,True,unspecified,increase,increase,decrease,23,69.0
repl,3,s14,True,decrease,decrease,decrease,increase,23,69.0
repl,3,s15,True,absent,increase,increase,decrease,23,69.0
repl,4,s4,False,absent,increase,,decrease,23,82.0
repl,4,s7,False,absent,decrease,,decrease,23,82.0
repl,4,s9,True,decrease,decrease,decrease,stable,23,82.0
repl,4,s11,True,increase,increase,increase,increase,23,82.0
repl,4,s12,True,decrease,increase,increase,increase,23,82.0
repl,4,s14,True,decrease,decrease,decrease,decrease,23,82.0
repl,4,s15,True,absent,increase,increase,increase,23,82.0
repl,5,s4,False,absent,increase,,increase,23,91.0
repl,5,s7,False,absent,decrease,,increase,23,91.0
repl,5,s9,True,decrease,decrease,decrease,increase,23,91.0
repl,5,s11,True,increase,increase,increase,decrease,23,91.0
repl,5,s12,True,unspecified,increase,increase,decrease,23,91.0
repl,5,s14,True,decrease,decrease,decrease,stable,23,91.0
repl,5,s15,True,unspecified,increase,increase,decrease,23,91.0
repl,6,s4,False,absent,increase,,decrease,42,93.0
repl,6,s7,False,absent,decrease,,increase,42,93.0
repl,6,s9,True,decrease,decrease,decrease,increase,42,93.0
repl,6,s11,True,increase,increase,increase,increase,42,93.0
repl,6,s12,True,increase,increase,increase,increase,42,93.0
repl,6,s14,True,decrease,decrease,decrease,increase,42,93.0
repl,6,s15,True,increase,increase,increase,decrease,42,93.0
repl,7,s4,False,absent,increase,,increase,23,91.0
repl,7,s7,False,absent,decrease,,decrease,23,91.0
repl,7,s9,True,decrease,decrease,decrease,increase,23,91.0
repl,7,s11,True,increase,increase,increase,increase,23,91.0
repl,7,s12,True,unspecified,increase,increase,increase,23,91.0
repl,7,s14,True,decrease,decrease,decrease,increase,23,91.0
repl,7,s15,True,absent,increase,increase,decrease,23,91.0
repl,8,s4,False,absent,increase,,increase,23,95.0
repl,8,s7,False,absent,decrease,,increase,23,95.0
repl,8,s9,True,decrease,decrease,decrease,stable,23,95.0
repl,8,s11,True,increase,increase,increase,decrease,23,95.0
repl,8,s12,True,decrease,increase,increase,decrease,23,95.0
repl,8,s14,True,decrease,decrease,decrease,stable,23,95.0
repl,8,s15,True,absent,increase,increase,increase,23,95.0
repl,9,s4,False,absent,increase,,decrease,23,111.0
repl,9,s7,False,absent,decrease,,decrease,23,111.0
repl,9,s9,True,decrease,decrease,decrease,stable,23,111.0
repl,9,s11,True,increase,increase,increase,decrease,23,111.0
repl,9,s12,True,unspecified,increase,increase,increase,23,111.0
repl,9,s14,True,decrease,decrease,decrease,increase,23,111.0
repl,9,s15,True,absent,increase,increase,increase,23,111.0
repl,10,s4,False,absent,increase,,increase,23,96.0
repl,10,s7,False,absent,decrease,,decrease,23,96.0
repl,10,s9,True,decrease,decrease,decrease,stable,23,96.0
repl,10,s11,True,increase,increase,increase,increase,23,96.0
repl,10,s12,True,unspecified,increase,increase,increase,23,96.0
repl,10,s14,True,decrease,decrease,decrease,stable,23,96.0
repl,10,s15,True,absent,increase,increase,decrease,23,96.0
repl,11,s4,False,absent,increase,,increase,42,97.0
repl,11,s7,False,absent,decrease,,decrease,42,97.0
repl,11,s9,True,decrease,decrease,decrease,decrease,42,97.0
repl,11,s11,True,increase,increase,increase,decrease,42,97.0
repl,11,s12,True,increase,increase,increase,increase,42,97.0
repl,11,s14,True,decrease,decrease,decrease,decrease,42,97.0
repl,11,s15,True,increase,increase,increase,increase,42,97.0
repl,12,s4,False,absent,increase,,increase,23,124.0
repl,12,s7,False,absent,decrease,,decrease,23,124.0
repl,12,s9,True,decrease,decrease,decrease,increase,23,124.0
repl,12,s11,True,increase,increase,increase,decrease,23,124.0
repl,12,s12,True,decrease,increase,increase,increase,23,124.0
repl,12,s14,True,decrease,decrease,decrease,increase,23,124.0
repl,12,s15,True,absent,increase,increase,increase,23,124.0
repl,13,s4,False,absent,increase,,increase,23,95.0
