dataset,mode,k,n_cycles,run,engine_id,sensor,cued,claimed,expected_textbook,actual_in_window,net_change,pred_rul,true_rul
FD001,few_shot,10,5,run1,1,s4,False,absent,increase,decrease,-0.023999999999999966,45,112.0
FD001,few_shot,10,5,run1,1,s7,False,unspecified,decrease,increase,0.01100000000000001,45,112.0
FD001,few_shot,10,5,run1,1,s9,True,absent,decrease,increase,0.047,45,112.0
FD001,few_shot,10,5,run1,1,s11,True,absent,increase,decrease,-0.06599999999999998,45,112.0
FD001,few_shot,10,5,run1,1,s12,True,absent,increase,stable,-0.006000000000000005,45,112.0
FD001,few_shot,10,5,run1,1,s14,True,absent,decrease,increase,0.015000000000000013,45,112.0
FD001,few_shot,10,5,run1,1,s15,True,absent,increase,decrease,-0.181,45,112.0
FD001,few_shot,10,5,run1,2,s4,False,absent,increase,increase,0.07799999999999996,23,98.0
FD001,few_shot,10,5,run1,2,s7,False,unspecified,decrease,decrease,-0.05300000000000005,23,98.0
FD001,few_shot,10,5,run1,2,s9,True,absent,decrease,stable,-0.006000000000000005,23,98.0
FD001,few_shot,10,5,run1,2,s11,True,absent,increase,increase,0.10099999999999998,23,98.0
FD001,few_shot,10,5,run1,2,s12,True,absent,increase,increase,0.019000000000000017,23,98.0
FD001,few_shot,10,5,run1,2,s14,True,absent,decrease,stable,-0.0069999999999999785,23,98.0
FD001,few_shot,10,5,run1,2,s15,True,absent,increase,increase,0.014000000000000012,23,98.0
FD001,few_shot,10,5,run1,3,s4,False,absent,increase,increase,0.10399999999999998,23,69.0
FD001,few_shot,10,5,run1,3,s7,False,unspecified,decrease,decrease,-0.033999999999999975,23,69.0
FD001,few_shot,10,5,run1,3,s9,True,absent,decrease,increase,0.020000000000000004,23,69.0
FD001,few_shot,10,5,run1,3,s11,True,absent,increase,increase,0.07699999999999996,23,69.0
FD001,few_shot,10,5,run1,3,s12,True,absent,increase,decrease,-0.09000000000000002,23,69.0
FD001,few_shot,10,5,run1,3,s14,True,absent,decrease,increase,0.01100000000000001,23,69.0
FD001,few_shot,10,5,run1,3,s15,True,absent,increase,decrease,-0.331,23,69.0
FD001,few_shot,10,5,run1,4,s4,False,absent,increase,decrease,-0.194,23,82.0
FD001,few_shot,10,5,run1,4,s7,False,unspecified,decrease,decrease,-0.20800000000000002,23,82.0
FD001,few_shot,10,5,run1,4,s9,True,absent,decrease,decrease,-0.024999999999999994,23,82.0
FD001,few_shot,10,5,run1,4,s11,True,absent,increase,increase,0.023999999999999966,23,82.0
FD001,few_shot,10,5,run1,4,s12,True,absent,increase,increase,0.049000000000000044,23,82.0
FD001,few_shot,10,5,run1,4,s14,True,absent,decrease,stable,-0.0030000000000000027,23,82.0
FD001,few_shot,10,5,run1,4,s15,True,absent,increase,increase,0.18400000000000005,23,82.0
FD001,few_shot,10,5,run1,5,s4,False,absent,increase,increase,0.21600000000000003,23,91.0
FD001,few_shot,10,5,run1,5,s7,False,unspecified,decrease,decrease,-0.018999999999999906,23,91.0
FD001,few_shot,10,5,run1,5,s9,True,absent,decrease,stable,-0.0020000000000000018,23,91.0
FD001,few_shot,10,5,run1,5,s11,True,absent,increase,increase,0.02999999999999997,23,91.0
FD001,few_shot,10,5,run1,5,s12,True,absent,increase,decrease,-0.029000000000000026,23,91.0
FD001,few_shot,10,5,run1,5,s14,True,absent,decrease,decrease,-0.013999999999999985,23,91.0
FD001,few_shot,10,5,run1,5,s15,True,absent,increase,stable,-0.006000000000000005,23,91.0
FD001,few_shot,10,5,run1,6,s4,False,absent,increase,decrease,-0.018000000000000016,23,93.0
FD001,few_shot,10,5,run1,6,s7,False,unspecified,decrease,increase,0.05800000000000005,23,93.0
FD001,few_shot,10,5,run1,6,s9,True,absent,decrease,increase,0.02099999999999999,23,93.0
FD001,few_shot,10,5,run1,6,s11,True,absent,increase,decrease,-0.035999999999999976,23,93.0
FD001,few_shot,10,5,run1,6,s12,True,absent,increase,increase,0.050999999999999934,23,93.0
FD001,few_shot,10,5,run1,6,s14,True,absent,decrease,increase,0.02300000000000002,23,93.0
FD001,few_shot,10,5,run1,6,s15,True,absent,increase,increase,0.010000000000000009,23,93.0
FD001,few_shot,10,5,run1,7,s4,False,absent,increase,increase,0.22700000000000004,23,91.0
FD001,few_shot,10,5,run1,7,s7,False,unspecified,decrease,decrease,-0.029000000000000026,23,91.0
FD001,few_shot,10,5,run1,7,s9,True,absent,decrease,increase,0.065,23,91.0
FD001,few_shot,10,5,run1,7,s11,True,absent,increase,increase,0.06600000000000003,23,91.0
FD001,few_shot,10,5,run1,7,s12,True,absent,increase,increase,0.14100000000000001,23,91.0
FD001,few_shot,10,5,run1,7,s14,True,absent,decrease,increase,0.025999999999999995,23,91.0
FD001,few_shot,10,5,run1,7,s15,True,absent,increase,decrease,-0.04200000000000004,23,91.0
FD001,few_shot,10,5,run1,8,s4,False,absent,increase,increase,0.14600000000000002,23,95.0
FD001,few_shot,10,5,run1,8,s7,False,unspecified,decrease,increase,0.06899999999999995,23,95.0
FD001,few_shot,10,5,run1,8,s9,True,absent,decrease,stable,-0.009000000000000008,23,95.0
FD001,few_shot,10,5,run1,8,s11,True,absent,increase,increase,0.05299999999999999,23,95.0
FD001,few_shot,10,5,run1,8,s12,True,absent,increase,decrease,-0.09199999999999997,23,95.0
FD001,few_shot,10,5,run1,8,s14,True,absent,decrease,decrease,-0.013000000000000012,23,95.0
FD001,few_shot,10,5,run1,8,s15,True,absent,increase,increase,0.13899999999999996,23,95.0
FD001,few_shot,10,5,run1,9,s4,False,absent,increase,increase,0.09199999999999997,23,111.0
FD001,few_shot,10,5,run1,9,s7,False,unspecified,decrease,decrease,-0.03999999999999998,23,111.0
FD001,few_shot,10,5,run1,9,s9,True,absent,decrease,increase,0.04100000000000001,23,111.0
FD001,few_shot,10,5,run1,9,s11,True,absent,increase,decrease,-0.01100000000000001,23,111.0
FD001,few_shot,10,5,run1,9,s12,True,absent,increase,increase,0.04300000000000004,23,111.0
FD001,few_shot,10,5,run1,9,s14,True,absent,decrease,decrease,-0.02100000000000002,23,111.0
FD001,few_shot,10,5,run1,9,s15,True,absent,increase,decrease,-0.04099999999999998,23,111.0
FD001,few_shot,10,5,run1,10,s4,False,absent,increase,decrease,-0.010000000000000009,25,96.0
FD001,few_shot,10,5,run1,10,s7,False,unspecified,decrease,decrease,-0.19800000000000006,25,96.0
FD001,few_shot,10,5,run1,10,s9,True,absent,decrease,decrease,-0.020000000000000018,25,96.0
FD001,few_shot,10,5,run1,10,s11,True,absent,increase,increase,0.05299999999999999,25,96.0
FD001,few_shot,10,5,run1,10,s12,True,absent,increase,increase,0.08300000000000007,25,96.0
FD001,few_shot,10,5,run1,10,s14,True,absent,decrease,increase,0.03,25,96.0
FD001,few_shot,10,5,run1,10,s15,True,absent,increase,decrease,-0.09300000000000003,25,96.0
FD001,few_shot,10,5,run1,11,s4,False,absent,increase,decrease,-0.03399999999999992,10,97.0
FD001,few_shot,10,5,run1,11,s7,False,unspecified,decrease,decrease,-0.06900000000000006,10,97.0
FD001,few_shot,10,5,run1,11,s9,True,absent,decrease,decrease,-0.017999999999999988,10,97.0
FD001,few_shot,10,5,run1,11,s11,True,absent,increase,decrease,-0.018000000000000016,10,97.0
FD001,few_shot,10,5,run1,11,s12,True,absent,increase,stable,-0.0020000000000000018,10,97.0
FD001,few_shot,10,5,run1,11,s14,True,absent,decrease,stable,0.0010000000000000009,10,97.0
FD001,few_shot,10,5,run1,11,s15,True,absent,increase,increase,0.11100000000000004,10,97.0
