dataset,mode,k,n_cycles,run,claims,textbook_pct,input_pct
FD001,few_shot,3,5,run1,27,29.629629629629626,18.51851851851852
FD001,few_shot,3,15,run1,72,62.5,47.22222222222222
FD001,few_shot,3,30,run1,1,100.0,100.0
FD001,few_shot,5,5,run1,21,19.047619047619047,47.61904761904761
FD001,few_shot,5,15,run1,70,58.57142857142858,48.57142857142857
FD001,few_shot,5,30,run1,1,100.0,0.0
FD001,few_shot,10,15,run1,17,41.17647058823529,41.17647058823529
FD001,zero_shot,0,5,run1,389,95.37275064267352,44.473007712082264
FD001,zero_shot,0,15,run1,348,92.81609195402298,44.252873563218394
FD001,zero_shot,0,30,run1,367,93.18801089918256,41.41689373297003
FD001,zero_shot,0,30,run2,350,91.71428571428571,44.285714285714285
FD001,zero_shot,0,30,run3,369,92.6829268292683,44.173441734417345
FD001,zero_shot,0,30,run4,364,91.48351648351648,43.956043956043956
FD003,few_shot,3,5,run1,34,73.52941176470588,61.76470588235294
FD003,few_shot,3,15,run1,46,76.08695652173914,50.0
FD003,few_shot,3,30,run1,1,0.0,100.0
FD003,few_shot,5,5,run1,28,67.85714285714286,53.57142857142857
FD003,few_shot,5,15,run1,32,78.125,53.125
FD003,few_shot,5,30,run1,4,25.0,50.0
FD003,few_shot,10,5,run1,3,33.33333333333333,0.0
FD003,few_shot,10,15,run1,23,91.30434782608695,56.52173913043478
FD003,few_shot,10,30,run1,2,50.0,0.0
FD003,zero_shot,0,5,run1,427,97.89227166276346,37.470725995316165
FD003,zero_shot,0,15,run1,403,97.51861042183623,40.69478908188586
FD003,zero_shot,0,30,run1,417,97.3621103117506,39.80815347721823
