dataset,mode,k,n_cycles,run,distinct_values,modal_value,modal_share_pct,entropy_bits,pred_sd,max_entropy_bits,entropy_ratio
FD001,few_shot,3,5,run1,3,23.0,82.0,0.8536112233937612,7.811743296686941,6.643856189774724,0.1284812914384748
FD001,few_shot,3,15,run1,3,45.0,64.0,1.1519589288104253,10.145860478465336,6.643856189774724,0.17338709567244337
FD001,few_shot,3,30,run1,11,95.0,39.0,2.3421472705827466,17.30632803049191,6.643856189774724,0.3525282913539648
FD001,few_shot,5,5,run1,3,23.0,76.0,1.033836638149155,8.88350531415762,6.643856189774724,0.15560791934965254
FD001,few_shot,5,15,run1,5,45.0,57.0,1.4919923401663508,9.734952127735038,6.643856189774724,0.2245672238454849
FD001,few_shot,5,30,run1,8,95.0,40.0,2.2368344149466495,15.138084956876684,6.643856189774724,0.33667712711621695
FD001,few_shot,10,5,run1,7,23.0,53.0,1.8500419788184128,11.272004294183038,6.643856189774724,0.27845906443094504
FD001,few_shot,10,15,run1,7,45.0,37.0,1.980841444555631,11.791111187258945,6.643856189774724,0.29814634573280796
FD001,few_shot,10,30,run1,8,95.0,34.0,2.3002435503932137,11.576408437992862,6.643856189774724,0.34622115300048495
FD001,zero_shot,0,5,run1,3,23.0,68.0,0.9685806015045625,8.816857132616457,6.643856189774724,0.14578590713556738
FD001,zero_shot,0,15,run1,2,23.0,84.0,0.6343095546405662,7.000606034371944,6.643856189774724,0.09547310124153574
FD001,zero_shot,0,30,run1,2,23.0,85.0,0.6098403047164004,6.818535344370098,6.643856189774724,0.0917901121422495
FD001,zero_shot,0,30,run2,2,23.0,81.0,0.7014714598838974,7.491267643669589,6.643856189774724,0.1055819752636281
FD001,zero_shot,0,30,run3,2,23.0,81.0,0.7014714598838974,7.491267643669589,6.643856189774724,0.1055819752636281
FD001,zero_shot,0,30,run4,3,23.0,80.0,0.7792074863105535,7.704196678735976,6.643856189774724,0.1172824131127038
FD003,few_shot,3,5,run1,5,23.0,49.0,1.6527155000466185,10.47731556335598,6.643856189774724,0.24875846990641406
FD003,few_shot,3,15,run1,3,45.0,73.0,1.078178034238031,8.595488598237115,6.643856189774724,0.16228196448583712
FD003,few_shot,3,30,run1,8,95.0,33.0,2.4682756498869267,16.36827122912811,6.643856189774724,0.37151250409148595
FD003,few_shot,5,5,run1,3,23.0,57.0,1.387015914183415,10.468321621719387,6.643856189774724,0.2087666973162532
FD003,few_shot,5,15,run1,5,45.0,74.0,1.1923458546652694,8.177790815755966,6.643856189774724,0.179465933729926
FD003,few_shot,5,30,run1,10,95.0,29.0,2.7119918345206844,17.346996363298253,6.643856189774724,0.40819544509325706
FD003,few_shot,10,5,run1,5,10.0,92.0,0.5421791902022728,6.924199986608232,6.643856189774724,0.08160609963784551
FD003,few_shot,10,15,run1,3,30.0,49.0,1.4924618909608687,8.699674903945747,6.643856189774724,0.22463789828230374
FD003,few_shot,10,30,run1,8,95.0,33.0,2.477361952711375,17.787440240322113,6.643856189774724,0.3728801289414086
FD003,zero_shot,0,5,run1,2,23.0,61.0,0.9647995485050872,9.313935470003749,6.643856189774724,0.1452168019515487
FD003,zero_shot,0,15,run1,3,23.0,71.0,0.9314763567502713,8.597973686581712,6.643856189774724,0.1402011618168176
FD003,zero_shot,0,30,run1,2,23.0,51.0,0.9997114417528099,9.545949482118136,6.643856189774724,0.1504715654880404
