dataset,model,RMSE,MAE,NASA_Score,spearman_rho,spearman_p,pred_min,pred_max,pred_range,distinct_values,degenerate_constant
FD001,const_trainmean,41.94179565195834,34.83,33354.47175535112,,,86.82928602588338,86.82928602588338,0.0,1,True
FD001,RandomForest,17.957747791691475,13.27105,760.6436269318586,0.8127016250083586,1.0121369172740983e-24,7.805,123.44,115.63499999999999,100,False
FD001,XGBoost,15.948078483209018,11.709649758338928,477.11041064347944,0.8435572505527204,3.2957391536294057e-28,5.37592077255249,122.27609252929688,116.90017175674438,100,False
FD001,LSTM_original,43.88958323249383,39.365151176452635,5882.209342871177,,,56.549495697021484,56.54950714111328,1.1444091796875e-05,2,True
FD001,LSTM_fixed,13.575091047685598,10.327971229553222,260.9075023881398,0.888933876985807,5.288397025629513e-35,4.518305778503418,125.0,120.48169422149658,100,False
FD003,const_trainmean,43.70001135914202,36.442961165048544,57686.92164191835,,,93.14320388349515,93.14320388349515,0.0,1,True
FD003,RandomForest,17.679855266658716,12.075049999999997,1336.6152945967929,0.8734087698696689,2.1849113497572965e-32,6.195,125.0,118.805,100,False
FD003,XGBoost,16.22461331624328,11.078039989471435,923.403760425925,0.8898690109983843,3.576676964510194e-35,5.96768045425415,125.0,119.03231954574585,100,False
FD003,LSTM_original,39.870125372254634,34.70394287109375,6063.071853589243,,,66.30047607421875,66.30047607421875,0.0,1,True
FD003,LSTM_fixed,13.8113010613988,9.72684774875641,403.0962234892275,0.9282713493346508,6.90286662809344e-44,0.0,125.0,125.0,98,False
