dataset,mode,k,n_cycles,run,file,n_engines,RMSE,MAE,NASA_Score,spearman_rho,spearman_p,kendall_tau,kendall_p,distinct_values,modal_value,modal_share_pct,pred_mean,pred_sd,true_sd,sd_ratio_pred_over_true,RMSE_trainmean_const,beats_trainmean_RMSE,rho_ci_lo,rho_ci_hi,p_fdr,sig_fdr_5pct,p_bonferroni,sig_bonf_5pct
FD003,few_shot,5,5,run1,traces_FD003_few_shot_k5.json,100,55.981514806228674,46.75,32901.67633088919,0.3120256877015308,0.0015759440365498,0.2490453518271098,0.0018573397384932,3,23.0,57.0,32.01,10.468321621719388,39.36339888420678,0.2659404908736029,43.70001135914202,False,0.1257075841543433,0.4796026678462237,0.037811059681104,True,0.0425504889868445,True
FD001,zero_shot,0,15,run1,traces_FD001_zero_shot_k0_n15.json,100,61.91179209165246,52.01,45218.18500459703,0.2936431555628189,0.0030251176307698,0.2429818482344485,0.0034811270476337,2,23.0,84.0,26.04,7.000606034371944,40.27515839619236,0.173819453805892,41.94179565195834,False,0.1260096322468992,0.4413466384013902,0.037811059681104,True,0.0816781760307846,False
FD003,few_shot,10,30,run1,traces_FD003_few_shot_k10_n30.json,100,47.58014291697746,40.51,71047.58621970193,-0.2839181906750505,0.004201228853456,-0.2199863671940403,0.0033885481778416,8,95.0,33.0,81.97,17.787440240322113,39.36339888420678,0.4518776514357025,43.70001135914202,False,-0.4644605024014074,-0.0889153921134208,0.037811059681104,True,0.113433179043312,False
FD001,few_shot,10,5,run1,traces_FD001_few_shot_k10.json,100,60.31152460351172,50.68,43626.70994973276,0.2612514963110097,0.0086539181263747,0.2047952921595622,0.0083298986898293,7,23.0,53.0,27.95,11.272004294183038,40.27515839619236,0.2798748594182736,41.94179565195834,False,0.0607052037246488,0.4469664977217687,0.0584139473530292,False,0.2336557894121169,False
FD001,zero_shot,0,30,run3,traces_FD001_zero_shot_k0_n30_run3.json,100,61.74431147887229,51.82,43301.285651750615,0.2403850786990348,0.0159934212702472,0.1989122157413248,0.0167659148114077,2,23.0,81.0,26.61,7.491267643669589,40.27515839619236,0.1860021894880447,41.94179565195834,False,0.0346787854059183,0.420401969470184,0.0863644748593348,False,0.4318223742966744,False
FD003,zero_shot,0,30,run1,traces_FD003_zero_shot_k0_n30.json,100,56.29822377304634,46.57,33469.1620922677,0.2298080680416737,0.021444643079813,0.1910416961743635,0.0222214360620646,2,23.0,51.0,32.31,9.545949482118136,39.36339888420678,0.242508262820468,43.70001135914202,False,0.0320584200109541,0.4178002694004831,0.0963529852945542,False,0.579005363154951,False
FD003,few_shot,3,5,run1,traces_FD003_few_shot_k3.json,100,55.96105788849957,46.52,32049.519061347004,0.2190795655876354,0.0285293992203836,0.1747789436101362,0.026913243364434,5,23.0,49.0,33.06,10.47731556335598,39.36339888420678,0.2661689757578237,43.70001135914202,False,0.0284720357847301,0.4014470921831779,0.0963529852945542,False,0.7702937789503572,False
FD001,zero_shot,0,30,run4,traces_FD001_zero_shot_k0_n30_run4.json,100,61.5223536610881,51.22,45986.944267409584,0.2134199268903652,0.0330072191932271,0.175041059390263,0.0344622533216027,3,23.0,80.0,26.83,7.704196678735976,40.27515839619236,0.1912890472819179,41.94179565195834,False,0.0381068258494648,0.3739485781086581,0.0963529852945542,False,0.8911949182171317,False
FD001,few_shot,3,30,run1,traces_FD001_few_shot_k3_n30.json,100,50.5390937789747,40.7,133633.49117381466,-0.2107777272579729,0.0352924165991962,-0.1614907950065363,0.0330340648458319,11,95.0,39.0,91.69,17.30632803049191,40.27515839619236,0.4297022958978123,41.94179565195834,False,-0.3878598007042634,-0.0247668715487105,0.0963529852945542,False,0.9528952481782974,False
FD001,zero_shot,0,30,run2,traces_FD001_zero_shot_k0_n30_run2.json,100,61.80889903565667,51.34,45488.09436347326,0.2103369438616555,0.0356862908498349,0.1740481887736592,0.0363646750447228,2,23.0,81.0,26.61,7.491267643669589,40.27515839619236,0.1860021894880447,41.94179565195834,False,0.0309157223516212,0.3746152292897886,0.0963529852945542,False,0.9635298529455424,False
FD001,few_shot,10,15,run1,traces_FD001_few_shot_k10_n15.json,100,53.646714717678655,46.35,23306.78812784914,0.1842360347286281,0.0665148364666096,0.1335307128549717,0.0825893836488348,7,45.0,37.0,40.6,11.791111187258943,40.27515839619236,0.292763868766651,41.94179565195834,False,-0.0016754932090998,0.3627725568319764,0.1632636895089508,False,1.0,False
FD003,few_shot,10,15,run1,traces_FD003_few_shot_k10_n15.json,100,52.25772670141709,43.63,21286.79489840595,0.1744342639510647,0.0826088111403939,0.1376806240000244,0.0829763100878129,3,30.0,49.0,38.65,8.699674903945747,39.36339888420678,0.2210092408314921,43.70001135914202,False,-0.023528470039279,0.3641379640968968,0.1858698250658862,False,1.0,False
FD003,few_shot,10,5,run1,traces_FD003_few_shot_k10.json,100,73.01992878659907,62.27,149709.51430960486,0.1594187879350354,0.1131265998596685,0.1310826983872844,0.111975820237616,5,10.0,92.0,11.93,6.924199986608232,39.36339888420678,0.1759045250888213,43.70001135914202,False,-0.0435640730026172,0.3374098339170066,0.2349552458623884,False,1.0,False
FD001,few_shot,5,15,run1,traces_FD001_few_shot_k5_n15.json,100,53.96285759668403,46.99,18572.45066275112,0.1407821157098359,0.1623865132726003,0.1060512390284462,0.1813624499977152,5,45.0,57.0,38.28,9.734952127735038,40.27515839619236,0.2417110823493468,41.94179565195834,False,-0.0495489582680276,0.3258764854785325,0.313173989882872,False,1.0,False
FD003,few_shot,5,30,run1,traces_FD003_few_shot_k5_n30.json,100,45.71487722831595,38.45,55699.60784034293,-0.1289260205075235,0.2011106429193515,-0.095550548308196,0.1963210913865142,10,95.0,29.0,84.97,17.346996363298253,39.36339888420678,0.4406884785108875,43.70001135914202,False,-0.3326327474538774,0.0839781328415474,0.3619991572548327,False,1.0,False
FD003,few_shot,3,30,run1,traces_FD003_few_shot_k3_n30.json,100,46.38329440649942,38.93,108143.18333577002,-0.1247274996944924,0.2162993769077534,-0.0922365148188691,0.2183287282661278,8,95.0,33.0,88.67,16.36827122912811,39.36339888420678,0.4158246414969851,43.70001135914202,False,-0.317985767491044,0.0739284715915862,0.3650051985318338,False,1.0,False
FD001,zero_shot,0,30,run1,traces_FD001_zero_shot_k0_n30.json,100,62.83024749274826,52.58,48468.82547540144,0.1150591523632716,0.2543212151530428,0.095208367598188,0.2522820252966551,2,23.0,85.0,25.85,6.818535344370098,40.27515839619236,0.1692987840617587,41.94179565195834,False,-0.0985929522946629,0.3084036537815052,0.3868098151537128,False,1.0,False
FD003,zero_shot,0,5,run1,traces_FD003_zero_shot_k0.json,100,58.55792004502892,49.13,37417.56813370059,0.1142084458599033,0.2578732101024752,0.0949425988410349,0.2558060595764058,2,23.0,61.0,30.41,9.313935470003749,39.36339888420678,0.2366141068610985,43.70001135914202,False,-0.0956985330376939,0.3066027603256758,0.3868098151537128,False,1.0,False
