case,id
1,51
2,102
3,106
4,118
5,61
6,43
7,122
8,23
9,31
10,110
11,24
12,77
13,139
14,67
15,30
16,95
17,82
18,86
19,16
20,60
21,8
22,114
23,137
24,45
25,119
26,99
27,49
28,48
29,132
30,100
31,28
32,120
33,131
34,123
35,39
36,19
37,44
38,129
39,70
40,116
41,46
42,58
43,42
44,34
45,98
46,18
47,88
48,72
49,103
50,92
51,85
52,36
53,20
54,69
55,21
56,66
57,128
58,27
59,71
60,76
61,121
62,130
63,124
64,107
65,90
66,12
67,63
68,3
69,17
70,94
71,105
72,35
73,117
74,115
75,138
76,22
77,83
78,41
79,68
80,57
81,38
82,7
83,55
84,109
85,52
86,11
87,15
88,47
89,87
90,37
91,104
92,40
93,91
94,4
95,81
96,78
97,112
98,125
99,113
100,126
101,96
102,65
103,111
104,9
105,97
106,2
107,135
108,136
109,25
110,32
111,93
112,1
113,64
114,101
115,56
116,5
117,53
118,10
119,50
120,59
121,79
122,29
123,134
124,33
125,73
126,84
127,127
128,13
129,6
130,14
131,74
132,89
133,133
134,75
135,80
136,26
137,62
138,54
139,108
