id,case,sensor,author,author_note,revealed
1,112,s11,increase,,False
2,106,s14,decrease,,False
3,68,s12,increase,,False
4,94,s11,increase,,False
5,116,s15,increase,,False
6,129,s9,stable,,False
7,82,s11,increase,,False
8,21,s12,absent,,False
9,104,s9,decrease,,False
10,118,s12,increase,,False
11,86,s12,increase,,False
12,66,s14,decrease,,False
13,128,s9,unspecified,,False
14,130,s12,increase,,False
15,87,s9,decrease,,False
16,19,s7,unspecified,,False
17,69,s4,absent,,False
18,46,s11,unspecified,,False
19,36,s14,decrease,,False
20,53,s14,decrease,,False
21,55,s11,absent,,False
22,76,s11,increase,,False
23,8,s9,unspecified,,False
24,11,s15,increase,,False
25,109,s14,decrease,,False
26,136,s7,absent,,False
27,58,s11,increase,,False
28,31,s7,unspecified,,False
29,122,s15,absent,,False
30,15,s4,absent,,False
31,9,s11,increase,,False
32,110,s9,decrease,,False
33,124,s14,decrease,,False
34,44,s12,absent,,False
35,72,s11,increase,,False
36,52,s9,decrease,,False
37,90,s12,increase,,False
38,81,s9,decrease,,False
39,35,s15,increase,,False
40,92,s12,increase,,False
41,78,s7,unspecified,,False
42,43,s7,unspecified,,False
43,6,s11,unspecified,,False
44,37,s14,decrease,,False
45,24,s7,unspecified,,False
46,41,s15,increase,,False
47,88,s11,increase,,False
48,28,s12,unspecified,,False
49,27,s14,decrease,,False
50,119,s12,absent,,False
51,1,s11,increase,,False
52,85,s14,decrease,,False
53,117,s12,increase,,False
54,138,s9,decrease,,False
55,83,s12,increase,,False
56,115,s14,decrease,,False
57,80,s12,absent,,False
58,42,s12,increase,,False
59,120,s7,unspecified,,False
60,20,s12,unspecified,,False
61,5,s7,unspecified,,False
62,137,s11,increase,,False
63,67,s7,absent,,False
64,113,s14,decrease,,False
65,102,s4,absent,,False
66,56,s11,increase,,False
67,14,s15,increase,,False
68,79,s14,decrease,,False
69,54,s7,unspecified,,False
70,39,s9,decrease,,False
71,59,s12,unspecified,,False
72,48,s14,stable,,False
73,125,s14,stable,,False
74,131,s15,increase,,False
75,134,s11,unspecified,,False
76,60,s12,increase,,False
77,12,s15,absent,,False
78,96,s14,decrease,,False
79,121,s14,decrease,,False
80,135,s12,increase,,False
81,95,s7,absent,,False
82,17,s7,unspecified,,False
83,77,s12,increase,,False
84,126,s7,decrease,,False
85,51,s9,unspecified,,False
86,18,s9,decrease,,False
87,89,s14,decrease,,False
88,47,s7,unspecified,,False
89,132,s15,increase,,False
90,65,s7,unspecified,,False
91,93,s11,unspecified,,False
92,50,s15,increase,,False
93,111,s7,unspecified,,False
94,70,s9,absent,,False
95,16,s9,stable,,False
96,101,s14,stable,,False
97,105,s12,increase,,False
98,45,s12,absent,,False
99,26,s9,stable,,False
100,30,s15,unspecified,,False
101,114,s9,unspecified,,False
102,2,s7,unspecified,,False
103,49,s14,decrease,,False
104,91,s11,increase,,False
105,71,s9,decrease,,False
106,3,s9,stable,,False
107,64,s9,stable,,False
108,139,s11,increase,,False
109,84,s9,decrease,,False
110,10,s12,increase,,False
111,103,s7,unspecified,,False
112,97,s12,increase,,False
113,99,s12,increase,,False
114,22,s15,unspecified,,False
115,74,s9,decrease,,False
116,40,s12,increase,,False
117,73,s4,absent,,False
118,4,s9,decrease,,False
119,25,s4,unspecified,,False
120,32,s12,absent,,False
121,61,s11,increase,,False
122,7,s9,decrease,,False
123,34,s11,increase,,False
124,63,s12,increase,,False
125,98,s7,stable,,False
126,100,s11,increase,,False
127,127,s14,decrease,,False
128,57,s11,increase,,False
129,38,s9,absent,,False
130,62,s11,unspecified,,False
131,33,s12,increase,,False
132,29,s7,unspecified,,False
133,133,s9,decrease,,False
134,123,s15,increase,,False
135,107,s9,decrease,,False
136,108,s12,increase,,False
137,23,s11,unspecified,,False
138,75,s11,increase,,False
139,13,s15,increase,,False
