sensor,symbol,dataset,conflict,attested,claims,follows_prompt_pct,follows_data_pct,follows_window_pct
s4,T50,FD001,False,True,3,66.7,66.7,33.3
s7,P30,FD001,False,True,170,40.0,40.0,45.9
s9,Nc,FD001,True,True,578,95.8,4.2,28.5
s11,Ps30,FD001,False,True,612,99.2,99.2,65.8
s12,phi,FD001,True,True,309,65.7,34.3,46.9
s14,NRc,FD001,False,False,581,96.7,,28.2
s15,BPR,FD001,False,True,143,100.0,100.0,64.3
s4,T50,FD003,False,True,7,57.1,57.1,57.1
s7,P30,FD003,False,False,100,70.0,,55.0
s9,Nc,FD003,True,True,301,95.0,5.0,24.3
s11,Ps30,FD003,False,True,335,97.0,97.0,55.2
s12,phi,FD003,False,False,218,97.2,,47.7
s14,NRc,FD003,True,True,296,96.3,3.7,26.7
s15,BPR,FD003,False,False,163,100.0,,50.3
